,index,MMSI,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass
0,1496,355433000,NYK CONSTELLATION,IMO9337626,3FCZ6,71,1,294,32,11.7,71,A
1,2117,212348000,HYUNDAI HONGKONG,IMO9305661,5BZL,70,1,303,40,14,79,A
2,2140,211331640,SEOUL EXPRESS,IMO9193305,DHBN,70,0,294,32,13.6,79,A
3,4868,235098885,EVER LEARNED,IMO9604108,2GNG3,70,1,334,45,14.2,74,A
4,5452,565473000,MAERSK NORTHAMPTON,IMO9215919,9VPY3,70,1,210,30,11.5,73,A
5,6185,538007801,NASIA,IMO9315836,V7HK7,71,1,222,30,10.1,71,A
6,8637,372829000,EVER SUMMIT,IMO9300453,3EKU3,70,0,299,42,14.2,74,A
7,12870,416495000,EVER LOYAL,IMO9604158,BKIZ,70,1,334,45,14.2,71,A
8,25547,352822000,NYK ORION,IMO9312999,3EPU6,70,1,336,45,14,70,A
9,111966,357880000,MARITIME HARMONY,IMO9442990,3EOP9,70,0,224,32,14.1,70,A
10,251437,538007617,NAVIOS VERANO,IMO9308015,V7JY3,73,0,238,32,7.7,73,A
11,280086,235098383,EVER LINKING,IMO9629043,2GLI9,70,5,334,45,14.2,74,A
12,410833,352375000,NYK LAURA,IMO9406752,H9LL,70,0,210,30,11.5,70,A
13,549377,431260000,ONE MANHATTAN,IMO9689615,7JVP,72,5,366,51,-11.9,72,A
14,2067105,249888000,CMA CGM LEO,IMO9399208,9HA2057,70,5,363,45,15.5,79,A
15,5300768,248699000,APL FLORIDA,IMO9350032,9HA4766,71,5,293,40,11.7,71,A
16,6230428,477738600,OOCL LUXEMBOURG,IMO9417270,VRGO3,70,5,322,42,14.5,70,A
17,464000,367395280,CLEAN OCEAN,IMO9202352,WDE7605,90,0,44,10,3,90,A
18,4205118,565963000,NYK DANIELLA,IMO9355410,9VFC2,70,0,210,30,11.5,73,A
19,4496308,367486370,NRC QUEST,IMO9271195,WDF7619,90,5,48,10,3,70,A
20,6586387,538007482,HYUNDAI FORWARD,IMO9330707,V7PX2,70,5,295,32,11.9,70,A
21,117771,538007581,CLIPPER TALENT,IMO9406075,V7VG4,70,0,178,28,9.8,70,A
22,246057,370157000,ARTEMIS LEADER,IMO9355202,3ERS4,70,0,199,32,10.3,79,A
23,3285432,240801000,MARIJEANNIE,IMO9434565,SVAC7,70,0,292,45,18.2,79,A
24,3670690,563061300,NYK ORPHEUS,IMO9313008,9V5999,72,5,336,46,12.6,72,A
25,675834,636018560,SEALAND GUAYAQUIL,IMO9383259,A8QP3,71,0,209,30,8.5,71,A
26,3669179,636018222,NYK DELPHINUS,IMO9337652,D5OS3,70,0,294,32,9.7,70,A
27,3677545,565747000,MAERSK ALFIRK,IMO9342516,9VBN2,70,0,337,45,15,71,A
28,3680828,311008600,VIOLET ACE,IMO9395630,C6XG3,70,0,189,32,9.1,70,A
29,3963735,636091959,MSC SAVONA,IMO9460356,A8UX4,70,0,365,51,16,70,A
30,4069472,636019717,VOLANS,IMO9430777,D5VV2,71,0,265,32,11.5,71,A
31,1056838,353243000,GLORIOUS FUJI,IMO9641780,3EVV4,70,0,180,30,8.8,70,A
32,3478092,367641230,MARJORIE C,IMO9619684,WDH6745,70,0,210,32,9.8,70,A
33,3907541,303352000,PRESIDENT EISENHOWER,IMO9295220,KPES,79,0,299,42,12.1,79,A
34,5173671,636018471,NAVIOS FELICITAS,IMO9395953,A8UE8,79,0,259,32,10.7,79,A
35,6283682,218092000,HANOVER EXPRESS,IMO9343716,DFGX2,70,0,336,42,14.6,79,A
36,2388813,566949000,EVER LEGEND,IMO9604093,9V9724,70,0,334,45,14.2,74,A
37,3375697,477655900,MOL EMPIRE,IMO9407160,VRGE7,70,0,294,32,13.7,72,A
38,4789674,352718000,CANADIAN HIGHWAY,IMO9574066,3EVW3,70,0,199,32,10,70,A
39,928256,538008756,SYNERGY ANTWERP,IMO9443580,V7A2726,71,0,260,32,11.8,71,A
40,1869551,229598000,VANTAGE,IMO9628192,9HA3435,70,0,299,48,14.5,70,A
41,2400216,432664000,RHEA LEADER,IMO9355214,7JDK,70,0,199,32,10.3,70,A
42,4270288,352361000,MSC BETTINA,IMO9399038,HPFG,71,0,366,52,-11.9,71,A
43,4389576,538007680,MELINA,IMO9401075,V7DE9,79,0,260,32,11.5,79,A
44,4839682,538007479,HYUNDAI COURAGE,IMO9347542,V7PP4,70,0,340,46,12.7,70,A
45,5611557,563433000,MAERSK NORTHWOOD,IMO9222118,9V3531,70,0,210,30,11.5,71,A
46,3521902,477607700,OOCL TOKYO,IMO9310238,VRCI9,70,0,323,42,14.5,70,A
47,1257966,311045300,NEPTUNE ACE,IMO9584059,C6YU3,70,0,199,32,9.8,79,A
48,1784169,367492920,KENNETH CARL,IMO8978710,WDF8246,90,5,33,7,2.7,79,A
49,2016981,431205000,EMINENT ACE,IMO9293571,7-Jul,70,0,199,32,9.8,79,A
50,7086,538008552,LISTA,IMO9514030,V7A2502,70,0,190,33,11.2,70,A
51,673870,310764000,KOBE EXPRESS,IMO9143544,ZCEV2,70,0,293,32,13.6,79,A
52,2963238,636016038,HYUNDAI PLATINUM,IMO9637155,D5EC4,70,0,255,37,13.5,71,A
53,89677,229979000,SANTA BETTINA,IMO9338084,9HA3768,70,0,222,30,12,71,A
54,3101170,636018223,NYK MARIA,IMO9406764,D5OS4,70,0,210,30,10.3,70,A
55,4429923,564548000,ATLANTIC TULUM,IMO9403035,9V3710,70,0,189,32,12.8,70,A
56,4470815,373828000,CREST NAVIGATOR,IMO9610224,3EYT3,70,0,176,28,10.7,70,A
57,2288440,566794000,EVER LEADER,IMO9595503,9V9289,70,0,334,45,14.2,74,A
58,5522016,477655200,COSCO JAPAN,IMO9448748,VRFX5,70,0,334,42,14.5,71,A
59,1044767,355368000,HACHINOHE MARU,IMO9242687,HOLZ,70,0,228,35,11.4,70,A
60,3085848,372724000,HAMBURG BRIDGE,IMO9395159,3FVW2,70,0,336,45,14,72,A
